GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Radeon Pro W5700,15421,649.99,3939,268,93.6296648443071
Quadro P6000,15232,3250.0,3939,268,93.6296648443071
Radeon RX 6600,15140,329.0,3939,268,93.6296648443071
GeForce GTX 1070 Ti,14717,569.99,3929,278,93.3919657713335
Radeon RX 5700,14599,309.99,3925,282,93.29688614214405
Radeon RX Vega 64,14477,749.99,3875,332,92.10839077727597
GeForce RTX 2060,14123,374.5,3868,339,91.94200142619444
Radeon Pro WX 8200,13932,1599.39,3819,388,90.77727596862373
GeForce GTX 980 Ti,13836,778.69,3819,388,90.77727596862373
RTX A2000,13786,768.99,3808,399,90.51580698835274
Radeon RX 5600 XT,13769,545.0,3808,399,90.51580698835274
NVIDIA TITAN X,13660,608.1,3801,406,90.34941763727122
Radeon RX 6600M,13652,189.99,3801,406,90.34941763727122
GeForce GTX 1070,13511,488.09,3801,406,90.34941763727122
GeForce RTX 3060 Laptop GPU,13419,309.99,3691,516,87.73472783456144
Radeon RX Vega 56,13418,752.99,3691,516,87.73472783456144
Radeon Vega Frontier Edition,13337,1679.99,3676,531,87.37817922510102
Radeon RX 6700M,13283,269.99,3676,531,87.37817922510102
GeForce RTX 2080 with Max-Q Design,13180,2099.99,3676,531,87.37817922510102
GeForce GTX TITAN X,13058,1096.99,3676,531,87.37817922510102
GeForce RTX 3050,12966,214.99,3675,532,87.35440931780366
GeForce GTX 1660 Ti,12959,337.51,3667,540,87.16425005942476
GeForce GTX 1660 SUPER,12784,191.34,3658,549,86.95032089374851
Quadro P5000,12294,1868.99,3652,555,86.80770144996434
Intel Arc A580,11987,427.98,3651,556,86.78393154266698
Quadro M6000,11741,4827.53,3651,556,86.78393154266698
GeForce GTX 1660,11713,266.73,3651,556,86.78393154266698
Quadro P4000,11644,556.19,3604,603,85.666745899691
GeForce GTX 980,11140,247.35,3604,603,85.666745899691
