GPU,Score,Price
Radeon HD 7790,3090,139.99
GeForce GTX 470,3085,59.99
Radeon R7 360,3062,145.99
EIZO MED-X5000,3038,0.0
GeForce GTX 560 Ti,3035,129.99
Radeon R9 360,3032,133.89
GeForce GTX 860M,3028,114.0
Tesla C2075,3017,646.0
Radeon HD 6990,3013,498.49
FirePro W5100,2980,125.99
GRID M10-4Q,2977,0.0
FirePro W5000,2965,184.0
GRID K260Q,2949,0.0
Tesla K20Xm,2918,0.0
Ryzen 9 5900HX with Radeon Graphics,2908,0.0
Quadro K1200,2902,285.29
Quadro M1000M,2895,85.99
Radeon R7 260,2892,89.99
Ryzen 7 PRO 4700G with Radeon Graphics,2880,0.0
Eng Sample: 100-000000261-50_Y,2860,0.0
Radeon Pro V340 MxGPU,2853,0.0
Tesla C2070,2840,604.0
GRID K280Q,2840,0.0
Radeon HD 6970,2833,149.99
Quadro M620,2829,0.0
FirePro W4300,2821,239.99
FirePro 3D V9800,2812,2499.0
Ryzen 7 5700G with Radeon Graphics,2808,0.0
GeForce MX350,2807,0.0
Radeon Ryzen 7 5800H,2771,0.0
Radeon R9 M380,2770,0.0
GeForce GTX 770M,2765,138.0
Quadro K5000M,2763,508.91
Custom GPU 0405,2762,0.0
Radeon Ryzen 9 5900H,2755,0.0
Radeon Ryzen 9 7900 12-Core,2753,0.0
Radeon Ryzen 9 5980HS,2749,0.0
Ryzen 7 5800H with Radeon Graphics,2748,0.0
GeForce GTX 675MX,2744,0.0
FirePro M6100 FireGL V,2743,0.0
GRID K2,2737,4449.99
FirePro S7150,2727,1697.99
FirePro V9800,2727,474.0
Radeon Pro 450,2723,0.0
GeForce GTX 560,2721,205.0
Ryzen 9 4900H with Radeon Graphics,2714,0.0
Quadro K4000,2713,270.0
Barco MXRT 5500,2702,299.0
Radeon RX 550,2702,223.99
Quadro 6000,2701,4092.38
Radeon HD 8950,2696,0.0
Radeon Ryzen 7 5800HS,2693,0.0
GRID M10-2Q,2692,0.0
Intel Iris Xe,2690,0.0
Ryzen 7 Pro 4750G with Radeon Graphics,2682,0.0
GeForce GTX 465,2679,195.0
Radeon Eng Sample: 100-000000300-40_Y,2670,0.0
Ryzen 7 5700GE with Radeon Graphics,2656,0.0
FirePro R5000,2647,109.99
GRID P6-4A,2639,0.0
MONSTER GeForce GTX 675M,2637,0.0
Ryzen 7 PRO 7730U with Radeon Graphics,2634,0.0
Quadro K4100M,2627,261.29
Radeon HD 6950,2627,139.99
Radeon Ryzen 7 4700GE,2610,0.0
Radeon Ryzen 7 PRO 4750G,2607,0.0
GRID M10-8Q,2606,0.0
Radeon RX Vega 11 Ryzen 7 3700U,2602,0.0
Ryzen 5 5600GE with Radeon Graphics,2602,0.0
GRID T4-2B,2601,0.0
GeForce GTX 950A,2598,0.0
Radeon Ryzen 7 4700G,2597,0.0
Radeon Eng Sample: 100-000000371-40_42/18_Y,2591,0.0
GeForce GTX 950M,2583,567.0
Ryzen 5 5600G with Radeon Graphics,2575,0.0
Radeon Ryzen 9 4900H,2559,0.0
Ryzen 7 PRO 4750GE with Radeon Graphics,2550,0.0
Ryzen 7 PRO 5750GE with Radeon Graphics,2546,0.0
GRID K240Q,2541,0.0
Radeon HD 6850 X2,2534,0.0
Ryzen 9 5980HS with Radeon Graphics,2534,0.0
GeForce GTX 650 Ti,2530,93.05
FireStream 9370,2528,0.0
N18E-Q1,2525,0.0
Radeon Ryzen 5 5600GE,2520,0.0
GeForce GTX 850M,2518,0.0
Radeon Ryzen 7 PRO 7730U,2517,0.0
Radeon Pro WX 3100,2510,0.0
Radeon Ryzen 7 7730U,2502,0.0
Ryzen 5 PRO 5650G with Radeon Graphics,2501,0.0
Ryzen 7 4700GE with Radeon Graphics,2496,0.0
GeForce GT 1030,2483,110.44
Barco MXRT 5600,2466,704.0
GeForce MX330,2465,0.0
Radeon Eng Sample: 100-000000146-40_42/35_Y,2464,0.0
Ryzen 5 PRO 5650GE with Radeon Graphics,2459,0.0
FirePro 3D V8800,2438,424.99
GeForce MX250,2437,0.0
Ryzen 7 PRO 5750G with Radeon Graphics,2421,0.0
Radeon Ryzen 5 5600H,2418,0.0
Ryzen 5 Pro 4650G with Radeon Graphics,2418,0.0
Radeon Eng Sample: 100-000000262-30_Y,2416,0.0
Radeon Pro WX 3200,2414,173.22
GeForce GTX 960A,2411,0.0
Ryzen 5 5600H with Radeon Graphics,2411,0.0
Radeon Ryzen 7 5800U,2410,0.0
Radeon RX Vega 11 PRD,2402,0.0
Ryzen 7 7730U with Radeon Graphics,2400,0.0
Ryzen 5 4600G with Radeon Graphics,2389,0.0
Radeon Ryzen 7 5825U,2386,0.0
Radeon Pro WX 4150,2381,610.04
Radeon Ryzen 5 PRO 4655G,2376,0.0
Radeon Eng Sample: 100-000000285-40_Y,2365,0.0
Radeon Ryzen 7 7700X 8-Core,2363,0.0
Radeon Ryzen 5 PRO 4655GE,2362,0.0
GeForce GTX 485M,2360,0.0
FirePro W6150M,2358,0.0
Ryzen 7 5800U with Radeon Graphics,2358,0.0
Ryzen 5 7530U with Radeon Graphics,2356,0.0
Ryzen 7 4800U with Radeon Graphics,2344,0.0
P106-090,2343,0.0
Radeon RX Vega - Renoir Ryzen 3 5300U,2340,0.0
Ryzen 3 PRO 5350G with Radeon Graphics,2337,0.0
GRID M10-2B,2333,0.0
